# THRESHOLDS_UNCALIBRATED -- RESEARCH USE ONLY. Do NOT use for clinical decisions. Composite grades use preliminary thresholds (0.10/0.20/0.35) that have not been calibrated against pathologist consensus.
slide_id,in_baseline,in_cohort,bl_total_cells,bl_pct_positive,bl_pct_2plus,bl_h_score,bl_mean_dab,bl_negative,bl_weak_1plus,bl_moderate_2plus,bl_strong_3plus,bl_eligible,co_total_cells,co_pct_2plus,co_h_score,co_mean_membrane_dab,co_mean_raw_dab,co_mean_completeness,co_mean_thickness_um,co_negative,co_weak_1plus,co_moderate_2plus,co_strong_3plus,co_n_measured,co_pct_measured,co_eligible,co_has_membrane,delta_total_cells,delta_pct_2plus,delta_h_score,eligibility_flip
BC_ClassII,True,False,327641,46.4148,35.489758607744456,115.8906,0.4334,175567,35795,4927,111352,False,,,,,,,,,,,,,,,,,,,MISSING_DATA
BC_ClassIII,True,False,235944,96.1211,87.78481334553962,267.4084,0.9006,9152,19669,10104,197019,True,,,,,,,,,,,,,,,,,,,MISSING_DATA
CLDN0009,False,True,,,,,,,,,,,334,0.0,0.0,0.0,0,0,0,334,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0015,False,True,,,,,,,,,,,451,0.0,0.0,0.0,0,0,0,451,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0040,False,True,,,,,,,,,,,1081,0.0,0.0,0.0,0,0,0,1081,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0042,False,True,,,,,,,,,,,16426,0.0,0.0,0.0,0,0,0,16426,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0045,False,True,,,,,,,,,,,2275,0.0,0.0,0.0,0,0,0,2275,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0047,False,True,,,,,,,,,,,11519,0.0,0.0,0.0,0,0,0,11519,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0049,False,True,,,,,,,,,,,941,0.0,0.0,0.0,0,0,0,941,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0053,False,True,,,,,,,,,,,5006,0.0,0.0,0.0,0,0,0,5006,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0075,False,True,,,,,,,,,,,7826,0.0,0.0,0.0,0,0,0,7826,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0111,False,True,,,,,,,,,,,558,0.0,0.0,0.0,0,0,0,558,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0122,False,True,,,,,,,,,,,117,0.0,0.0,0.0,0,0,0,117,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0123,False,True,,,,,,,,,,,490,0.0,0.0,0.0,0,0,0,490,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0133,False,True,,,,,,,,,,,127,0.0,0.0,0.0,0,0,0,127,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0152,False,True,,,,,,,,,,,1381,0.0,0.0,0.0,0,0,0,1381,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0216,False,True,,,,,,,,,,,822,0.0,0.0,0.0,0,0,0,822,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0218,False,True,,,,,,,,,,,8240,0.0,0.0,0.0,0,0,0,8240,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0219,False,True,,,,,,,,,,,1145,0.0,0.0,0.0,0,0,0,1145,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0220,False,True,,,,,,,,,,,966,0.0,0.0,0.0,0,0,0,966,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0227,False,True,,,,,,,,,,,3437,0.0,0.0,0.0,0,0,0,3437,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0229,False,True,,,,,,,,,,,793,0.0,0.0,0.0,0,0,0,793,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0232,False,True,,,,,,,,,,,1170,0.0,0.0,0.0,0,0,0,1170,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0234,False,True,,,,,,,,,,,823,0.0,0.0,0.0,0,0,0,823,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0235,False,True,,,,,,,,,,,3208,0.0,0.0,0.0,0,0,0,3208,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0236,False,True,,,,,,,,,,,1470,0.0,0.0,0.0,0,0,0,1470,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0239,False,True,,,,,,,,,,,827,0.0,0.0,0.0,0,0,0,827,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0240,False,True,,,,,,,,,,,1686,0.0,0.0,0.0,0,0,0,1686,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0250,False,True,,,,,,,,,,,2055,0.0,0.0,0.0,0,0,0,2055,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0251,False,True,,,,,,,,,,,6856,0.0,0.0,0.0,0,0,0,6856,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0252,False,True,,,,,,,,,,,330772,0.0,0.0,0.0,0,0,0,330772,0,0,0,0,0.0,False,False,,,,MISSING_DATA
