# THRESHOLDS_UNCALIBRATED -- RESEARCH USE ONLY. Do NOT use for clinical decisions. Composite grades use preliminary thresholds (0.10/0.20/0.35) that have not been calibrated against pathologist consensus.
slide_id,in_baseline,in_cohort,bl_total_cells,bl_pct_positive,bl_pct_2plus,bl_h_score,bl_mean_dab,bl_negative,bl_weak_1plus,bl_moderate_2plus,bl_strong_3plus,bl_eligible,co_total_cells,co_pct_2plus,co_h_score,co_mean_membrane_dab,co_mean_raw_dab,co_mean_completeness,co_mean_thickness_um,co_negative,co_weak_1plus,co_moderate_2plus,co_strong_3plus,co_eligible,co_has_membrane,co_n_measured,co_pct_measured,delta_total_cells,delta_pct_2plus,delta_h_score,eligibility_flip
CLDN0285,True,True,1083138,77.7661,14.272327256545333,97.0,0.1652,240824,687725,101264,53325,False,263,100.0,274.1444866920152,0.4443077472226248,0.4009767361126925,0.9583451823553899,6.56344390609882,0,0,68,195,True,True,263,100.0,-1082875,85.72767274345466,177.14448669201522,GAINED
CLDN0288,True,True,851734,88.5282,23.405429394623205,117.0,0.1821,97709,554673,156246,43106,False,595211,98.4780187194121,257.4129174360017,0.4381602400164427,0.39763600797330234,0.9383332369271035,7.222892773422677,9,9050,235356,350796,True,True,595203,99.99865593881833,-256523,75.07258932478891,140.4129174360017,GAINED
CLDN0289,True,True,1421058,63.8758,5.284020778884465,71.1,0.1306,513346,832623,47252,27837,False,1384029,91.54121770569836,215.9443913386208,0.34709172309656233,0.2958761687857298,0.8326015087552877,9.320312417946397,64,117008,929146,337811,True,True,1384000,99.99790466818254,-37029,86.25719692681389,144.8443913386208,GAINED
CLDN0290,True,True,1039252,69.7677,18.024983353411876,97.2,0.1918,314190,537737,89081,98244,False,756720,91.5399355111534,223.49296965852625,0.4123000797929291,0.35824163472375453,0.8824348574156504,8.329382777793846,39,63980,450867,241834,True,True,756699,99.99722486520774,-282532,73.51495215774153,126.29296965852625,GAINED
CLDN0291,True,True,727222,61.0305,7.811369843046552,73.6,0.1549,283395,387021,22168,34638,False,413186,90.15866946121118,214.0445223216663,0.34375990275263385,0.3071555384883455,0.9006314738566191,8.114162692490469,16,40647,273814,98709,True,True,413178,99.99806382597669,-314036,82.34729961816463,140.4445223216663,GAINED
CLDN0293,True,True,538727,68.4595,11.509540082453636,87.0,0.1895,169917,306805,24262,37743,False,242326,93.6053085512904,224.5140843326758,0.3616105854359218,0.3334149348845637,0.9406742869412249,7.869410629290463,10,15486,151920,74910,True,True,242320,99.99752399659963,-296401,82.09576846883677,137.5140843326758,GAINED
CLDN0294,True,True,1081833,58.3941,7.932000595285964,68.4,0.1277,450106,545916,63839,21972,False,590747,89.68120024308206,217.29132775959928,0.3231617604587347,0.29377798690505885,0.9259020527948497,7.530774163362591,12,60946,366671,163118,True,True,590741,99.99898433678038,-491086,81.74919964779609,148.89132775959928,GAINED
CLDN0295,True,True,1006157,85.1055,28.27033951957796,123.3,0.2229,149862,571851,185063,99381,False,748806,97.28634653034297,257.63655739937985,0.5555307458339561,0.45534746092689693,0.8414299904404705,7.762562864931231,38,20282,276542,451944,True,True,748792,99.99813035686145,-257351,69.01600701076501,134.33655739937984,GAINED
CLDN0296,True,True,1042108,69.0348,2.661432404318938,72.5,0.1243,322691,691682,18848,8887,False,808276,94.6054318079468,215.48357244307638,0.30545363717978236,0.2854290828475479,0.9181815397966515,9.28862768056712,16,43587,595904,168769,True,True,808265,99.99863907873053,-233832,91.94399940362786,142.98357244307638,GAINED
CLDN0297,True,True,2036659,85.6985,4.900624012168949,92.3,0.1429,291273,1645577,64999,34810,False,1374697,98.20753227802199,228.28841555630078,0.3409142590765397,0.3153715884796602,0.9276599718947359,9.747703429569132,24,24617,936511,413545,True,True,1374680,99.998763363854,-661962,93.30690826585304,135.98841555630077,GAINED
CLDN0299,True,True,889074,64.0704,3.5651700533363924,68.2,0.1198,319441,537936,26881,4816,False,904026,89.49189514460866,207.6828542541918,0.2910457445201116,0.2689804965627835,0.9224273172714318,8.161600858354516,63,94933,644516,164514,True,True,904003,99.99745582538554,14952,85.92672509127227,139.4828542541918,GAINED
CLDN0301,True,True,462130,55.6129,20.22807435137299,93.7,0.2764,205126,163524,11015,82465,False,227257,86.31021266671654,203.5638066154178,0.427594611993194,0.37723084159223486,0.8663939034225885,9.142012779284178,14,31097,156922,39224,True,True,227256,99.99955996954989,-234873,66.08213831534354,109.8638066154178,GAINED
CLDN0302,True,True,922329,75.397,19.93583634473165,107.2,0.2281,226921,511534,74779,109095,False,439807,96.00984068011651,236.88708910954122,0.5707312330259874,0.47588792517983697,0.8455481001018639,9.127478793667079,9,17540,242468,179790,True,True,439805,99.99954525507779,-482522,76.07400433538486,129.6870891095412,GAINED
CLDN0323,True,True,2126566,88.4083,17.96798218348267,108.3,0.165,246506,1497959,341123,40978,False,1830368,78.14772767006416,193.3946069861361,0.26751311384822357,0.2418340388502532,0.7615649893927999,1.1384637520242813,36197,363780,1115120,315271,True,True,1829353,99.94454667039633,-296198,60.17974548658149,85.0946069861361,GAINED
CLDN0350,True,True,209374,65.8577,4.597514495591621,71.1,0.1225,71485,128263,8277,1349,False,5682,77.68391411474833,207.9021471312918,0.36211168916787156,0.30429694721325223,0.7634853162707467,1.2754040739698118,117,1151,2580,1834,True,True,5681,99.98240056318198,-203692,73.08639961915671,136.8021471312918,GAINED
