cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
36158,78250.1907,62690.3813,10.0000,4.5980,0.2051,0.4501,3
36159,78740.2712,62759.4188,16.5000,7.5867,0.9857,3.1213,3
36160,78436.8523,62786.5777,19.0000,8.7362,0.6234,2.3410,3
36161,78737.9757,62803.8756,6.0000,2.7588,0.1250,0.2930,1
36162,78765.9794,62820.9416,5.0000,2.2990,0.2105,0.3517,1
36163,78744.5294,62836.6307,8.0000,3.6784,0.0000,0.3665,3
36164,78399.3206,62860.5691,3.0000,1.3794,0.5962,0.3058,2
36165,78442.3768,62877.0402,4.0000,1.8392,0.4655,0.2042,1
36166,78426.1201,62917.4369,7.0000,3.2186,0.7288,0.2256,2
36167,78289.4537,62928.3169,7.5000,3.4485,0.0909,0.2796,1
36168,78396.6870,62932.0915,5.0000,2.2990,0.7260,1.4279,3
36169,78480.8862,62952.2407,9.5000,4.3681,1.0000,0.3074,3
36170,78293.5998,62965.6009,9.5000,4.3681,1.0000,2.5608,3
36171,78564.4104,62961.8748,6.5000,2.9887,0.3276,0.3387,1
36172,78519.8116,62973.0580,15.0000,6.8970,1.0000,0.2129,3
36173,78467.2518,62995.8533,8.0000,3.6784,0.4848,0.2499,3
36174,78568.1700,63024.4592,5.0000,2.2990,0.9574,0.3961,3
36175,78630.0087,63036.0588,13.5000,6.2073,0.9273,3.3147,3
36176,78682.1952,63056.4877,19.0000,8.7362,0.6774,2.9948,3
36177,78183.6414,63058.8838,8.0000,3.6784,0.0000,0.3204,3
36178,78647.8132,63075.9372,14.0000,6.4372,0.7931,2.2012,3
36179,78599.8240,63091.9854,6.5000,2.9887,0.0877,0.2218,1
36193,78239.3891,62714.4864,9.0000,4.1382,1.0000,3.0333,3
36194,78253.3182,62774.8724,16.0000,7.3568,0.9552,2.9731,3
36195,78473.9657,62809.6008,11.0000,5.0578,0.9114,3.0639,3
36196,78385.7919,62875.5394,5.0000,2.2990,0.4762,0.2614,1
36197,78557.2385,62908.6353,13.5000,6.2073,0.8000,3.2251,3
36198,78353.9105,62914.4229,8.0000,3.6784,0.7297,1.0192,3
36199,78325.9769,63004.6398,23.5000,10.8053,0.8462,3.2652,3
36200,78527.9921,62999.8215,10.0000,4.5980,0.6333,0.1541,1
36201,78375.7653,63029.6718,14.5000,6.6671,0.9516,3.3748,3
36202,78463.3161,63034.8451,9.5000,4.3681,1.0000,3.0283,3
36203,78650.6717,63036.6212,8.5000,3.9083,0.9286,3.1254,3
36204,78479.9886,63057.1648,15.0000,6.8970,0.8776,3.2210,3
36205,78516.2756,63089.2570,23.0000,10.5754,0.9908,3.2200,3
36213,78776.1375,62767.2887,12.5000,5.7475,1.0000,3.2942,3
36234,78796.9561,62746.8801,10.0000,4.5980,1.0000,3.2478,3
36237,78802.1048,62897.1810,8.0000,3.6784,0.1212,0.5671,3
36243,78801.4144,63057.6188,15.0000,6.8970,0.9231,3.3334,3
36244,78845.7547,63098.6531,6.0000,2.7588,0.4516,0.5789,2
37413,78407.4353,63305.2234,18.0000,8.2764,0.8923,3.2264,3
59522,78157.9046,63176.8126,11.5000,5.2877,0.9474,2.7474,3
59525,78629.6299,63131.7014,4.5000,2.0691,0.1290,0.2316,1
59526,78375.8727,63268.6100,17.5000,8.0465,0.6604,3.0508,3
59528,78267.8776,63274.2925,19.0000,8.7362,0.9643,3.0138,3
59605,78280.3716,62923.0038,5.0000,2.2990,0.0909,0.2879,2
59814,78692.2517,63134.2222,20.0000,9.1960,1.0000,3.0507,3
