cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
67752,31115.5204,65474.2158,4.5000,2.0691,0.2239,0.1882,1
67753,31228.2705,65540.4813,16.5000,7.5867,0.7838,0.5547,3
67754,31395.1229,65582.5216,4.5000,2.0691,0.6596,0.3549,3
67755,31259.6446,65624.2450,6.0000,2.7588,0.3273,0.5426,2
67756,31089.5168,65776.3333,7.0000,3.2186,0.3415,0.3596,1
67759,31020.3623,65831.3044,14.5000,6.6671,0.9250,0.3743,3
67767,31140.3456,66054.0996,13.0000,5.9774,0.6727,2.6115,3
67769,31157.8551,65558.6414,19.0000,8.7362,0.9792,2.9266,3
67770,31208.1695,65645.9807,7.0000,3.2186,0.3409,0.6237,2
67771,31136.6865,65732.2759,8.0000,3.6784,1.0000,3.0753,3
67772,31040.5058,65807.1725,11.5000,5.2877,0.8750,0.3286,3
67773,31137.1201,65965.5435,8.0000,3.6784,0.7931,2.3609,3
67775,31429.2654,66077.2166,11.0000,5.0578,1.0000,2.4316,3
67776,31122.1348,66077.4843,9.5000,4.3681,1.0000,2.6116,3
67782,31630.6898,65862.5882,14.0000,6.4372,1.0000,2.5876,3
67793,31562.9565,65877.7710,9.0000,4.1382,0.8551,2.7812,3
67795,31525.5872,65894.3051,8.0000,3.6784,1.0000,2.8762,3
67798,31584.6325,66100.8089,18.5000,8.5063,1.0000,2.1593,3
67806,31631.9441,65865.3828,14.0000,6.4372,1.0000,2.5970,3
67816,31668.2570,65848.9736,20.0000,9.1960,1.0000,2.6116,3
67818,31526.0490,65894.8974,7.0000,3.2186,1.0000,2.8384,3
67821,31584.4602,66100.6143,18.5000,8.5063,1.0000,2.1522,3
95473,31025.3206,65505.3516,19.0000,8.7362,0.9400,2.8894,3
95666,31268.2571,65624.6369,5.0000,2.2990,0.2979,0.5635,2
