cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
28272,80997.7156,54972.3917,11.0000,5.0578,1.0000,3.1846,3
28273,81428.1317,55061.8917,14.0000,6.4372,0.9839,3.1715,3
28274,81587.3580,55227.9225,11.5000,5.2877,0.8434,2.8709,3
28275,81058.7233,55283.9325,11.5000,5.2877,0.7640,3.2635,3
28276,81371.5905,55301.8967,7.5000,3.4485,0.0278,0.2485,1
28277,81485.0860,55341.3606,13.0000,5.9774,0.9394,2.8151,3
28284,81408.8745,55032.0028,8.0000,3.6784,0.9302,3.3582,3
28285,81109.3951,55093.7481,12.0000,5.5176,0.9722,3.2875,3
28286,81331.6021,55132.3919,21.5000,9.8857,0.9464,3.1376,3
28287,81434.4644,55124.5718,11.0000,5.0578,0.9365,2.9598,3
28288,80999.9865,55132.7662,17.5000,8.0465,0.8085,3.1055,3
28289,81532.7168,55156.9598,12.5000,5.7475,0.8642,3.2030,3
28290,81274.1510,55170.4510,10.0000,4.5980,0.9545,3.3972,3
28291,81373.9053,55243.9696,21.0000,9.6558,0.9877,3.1606,3
28292,81513.4735,55279.7368,11.0000,5.0578,0.8750,3.1762,3
28293,81367.9135,55344.0907,7.0000,3.2186,1.0000,3.0009,3
28441,80998.2894,54972.8205,10.5000,4.8279,1.0000,3.1783,3
28442,81428.0844,55061.8413,12.5000,5.7475,0.9286,3.1867,3
28443,81587.3097,55227.6787,12.0000,5.5176,0.8313,2.9303,3
28444,81371.4796,55301.0055,7.5000,3.4485,0.0000,0.2485,1
28445,81293.6014,55393.8939,5.0000,2.2990,0.2857,0.5039,2
28446,81258.1412,55396.8452,10.0000,4.5980,1.0000,2.5290,3
28451,81108.3811,55094.9397,12.0000,5.5176,0.9706,3.3023,3
28452,81333.2657,55131.7928,21.0000,9.6558,0.9828,3.1096,3
28453,81435.1852,55123.8967,8.0000,3.6784,0.9375,2.9361,3
28454,81000.0069,55132.0893,16.5000,7.5867,0.8370,3.1124,3
28455,81533.3511,55155.1852,14.0000,6.4372,0.8571,3.2059,3
28456,81273.8785,55171.0321,6.0000,2.7588,0.9412,3.3865,3
28457,81373.8869,55242.6468,19.0000,8.7362,0.9863,3.1336,3
28458,81513.2410,55280.2231,10.5000,4.8279,0.9452,3.1721,3
28459,81604.9422,55292.7497,13.0000,5.9774,0.9167,3.0440,3
28460,81485.7236,55341.6163,14.0000,6.4372,1.0000,2.8396,3
28461,81516.9683,55394.7664,8.0000,3.6784,1.0000,2.8751,3
28462,81422.3051,55410.9061,9.0000,4.1382,0.9672,3.5514,3
28463,81609.2911,55426.2008,12.5000,5.7475,0.9859,3.2651,3
28464,81375.7917,55421.8173,7.0000,3.2186,0.9767,3.2014,3
28465,81509.8500,55442.4944,6.0000,2.7588,0.4898,2.5240,2
28466,81373.6041,55464.9808,11.5000,5.2877,0.8240,3.2115,3
28467,81424.6420,55502.2912,14.5000,6.6671,0.7368,2.9690,3
28468,81582.3284,55526.5761,6.5000,2.9887,0.9294,2.8789,3
28508,81662.7136,55226.5934,7.0000,3.2186,0.9841,2.8421,3
28661,81294.4693,55393.8562,5.5000,2.5289,0.3243,0.4610,2
28674,81561.7424,55394.3485,19.5000,8.9661,0.7632,3.1491,3
28675,81517.4167,55394.8026,8.0000,3.6784,1.0000,2.9215,3
28676,81422.1221,55412.2254,7.5000,3.4485,1.0000,3.4735,3
28677,81375.4171,55421.6223,6.5000,2.9887,1.0000,3.2290,3
28678,81508.7508,55442.0931,7.0000,3.2186,0.6098,2.3634,3
28679,81372.8696,55465.0207,11.0000,5.0578,0.8729,3.2478,3
28680,81382.6673,55508.9271,10.5000,4.8279,0.8000,3.2434,3
28681,81582.8952,55527.2301,12.0000,5.5176,0.9620,2.8794,3
28738,81609.6421,55427.2932,9.5000,4.3681,0.9683,3.2335,3
57654,81068.8972,54969.2199,14.5000,6.6671,0.9804,3.4652,3
57662,81371.7545,54975.5228,5.0000,2.2990,0.0962,0.2070,1
57684,81031.2455,55465.9792,15.0000,6.8970,0.7000,3.0469,3
57689,81597.6528,55195.9802,14.0000,6.4372,0.9821,3.3950,3
57722,81409.2311,55538.4556,10.5000,4.8279,0.9278,3.0983,3
57729,81503.6292,55138.0292,11.5000,5.2877,0.7333,3.2857,3
57730,81535.2787,55150.5257,12.0000,5.5176,0.8267,3.2580,3
57763,81596.2795,55231.5485,12.5000,5.7475,0.9412,2.6161,3
57875,81087.5299,55447.7350,12.5000,5.7475,0.9565,3.2632,3
