cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
42151,79262.1176,47169.2604,7.0000,3.2186,0.0000,0.3192,2
42152,79165.3847,47177.5180,11.0000,5.0578,1.0000,3.0160,3
42153,79349.7947,47173.8224,9.0000,4.1382,0.0000,0.2984,3
42154,79229.8272,47173.7984,7.0000,3.2186,1.0000,3.0847,3
42155,79437.6649,47192.7458,12.0000,5.5176,0.9714,3.0337,3
42156,79217.9861,47193.7153,7.0000,3.2186,0.4286,0.9055,2
42158,78884.8912,47268.0694,8.5000,3.9083,0.1273,1.4034,3
42159,79492.2028,47308.8322,8.5000,3.9083,0.9800,2.8970,3
42161,79010.1556,47328.0921,10.0000,4.5980,0.9636,2.7535,3
42162,79141.0510,47344.4062,12.0000,5.5176,0.7727,3.0966,3
42163,79024.4080,47355.2560,9.0000,4.1382,0.0392,0.8696,3
42164,79105.7392,47365.9706,7.5000,3.4485,0.0000,0.3233,1
42165,79138.0626,47382.1282,7.0000,3.2186,0.1379,0.3560,2
42166,79044.0301,47380.2847,9.0000,4.1382,1.0000,2.8164,3
42167,79437.8045,47397.7757,8.5000,3.9083,1.0000,3.0780,3
42168,79403.1325,47392.4175,10.0000,4.5980,1.0000,2.8209,3
42169,79052.4203,47406.8283,7.5000,3.4485,0.0000,0.4187,2
42170,79231.5687,47418.0452,5.0000,2.2990,0.0980,0.8151,2
42171,79205.4807,47426.4106,5.0000,2.2990,0.9846,2.8857,3
42172,79182.4653,47440.2507,5.0000,2.2990,0.1887,0.4502,2
42173,79377.3806,47449.1937,7.0000,3.2186,0.2449,1.1919,2
42174,79492.7414,47468.9960,11.0000,5.0578,1.0000,3.0802,3
42175,79538.3819,47477.1366,8.0000,3.6784,0.8966,2.7379,3
42176,78929.6023,47504.0386,10.0000,4.5980,0.9351,3.1377,3
42177,78976.2713,47508.8389,6.5000,2.9887,0.0000,0.3370,2
42192,79402.6323,47188.8826,11.0000,5.0578,0.7937,2.7586,3
42193,78978.5364,47205.7676,20.0000,9.1960,0.9577,3.0561,3
42194,79252.4332,47194.0267,6.5000,2.9887,0.9808,2.9991,3
42195,79196.7105,47272.1050,7.0000,3.2186,0.9167,3.1126,3
42196,78974.9053,47442.2797,21.5000,9.8857,0.9867,2.7978,3
42197,79335.0787,47438.1511,9.5000,4.3681,1.0000,3.3719,3
42198,79421.6480,47451.3583,8.0000,3.6784,1.0000,2.7776,3
42199,79457.0595,47488.4494,10.0000,4.5980,1.0000,2.2937,3
42200,79404.8366,47495.3825,7.0000,3.2186,1.0000,3.0825,3
42201,79012.7283,47486.5577,9.0000,4.1382,1.0000,3.2528,3
42468,79164.4274,47178.2945,13.5000,6.2073,0.9455,3.0270,3
42477,78876.1485,47238.2562,13.0000,5.9774,0.9375,2.5902,3
42479,78887.1517,47268.7329,13.0000,5.9774,0.1509,1.4165,3
42480,78863.8566,47306.2936,19.5000,8.9661,1.0000,3.0420,3
42481,79013.0256,47329.1002,10.0000,4.5980,1.0000,2.7403,3
42482,79024.8410,47355.1487,9.0000,4.1382,0.0000,0.3818,3
42484,79106.1985,47366.1734,8.5000,3.9083,0.0000,0.3363,3
42486,79046.8235,47379.9791,8.0000,3.6784,1.0000,2.8176,3
42488,79053.3148,47407.2372,7.0000,3.2186,0.0000,0.4195,2
42490,78854.8755,47429.9779,8.0000,3.6784,1.0000,2.7614,3
42491,79183.0207,47439.9379,4.5000,2.0691,0.1395,0.4610,2
42492,78875.9117,47507.1923,9.5000,4.3681,0.0000,0.3951,3
42493,78929.6245,47500.2812,13.5000,6.2073,0.8588,3.0931,3
42494,78976.8864,47509.0341,8.5000,3.9083,0.0000,0.3372,3
42495,78968.5728,47553.0876,12.5000,5.7475,0.8971,3.1515,3
42496,79011.7262,47601.6080,11.0000,5.0578,1.0000,3.2485,3
42497,79099.1816,47627.0299,7.0000,3.2186,1.0000,3.2210,3
42498,78975.4099,47614.9234,5.5000,2.5289,0.0000,0.3846,2
42499,79066.5354,47623.9798,7.0000,3.2186,0.0000,0.3602,2
42503,79020.2877,47760.3562,9.0000,4.1382,0.1667,0.4258,3
42505,78986.3333,47759.9670,9.0000,4.1382,0.0000,0.2093,3
42509,78978.9585,47205.1643,20.0000,9.1960,0.9589,3.0076,3
42514,79197.3601,47274.5888,8.0000,3.6784,1.0000,3.1180,3
42518,79086.3371,47412.2109,5.0000,2.2990,1.0000,2.9189,3
42521,79027.0034,47437.6692,19.5000,8.9661,0.9322,2.9077,3
42524,79012.4518,47493.6481,8.0000,3.6784,1.0000,3.1142,3
42527,79077.7876,47595.6961,9.5000,4.3681,1.0000,3.0103,3
42529,79061.3988,47663.3712,6.5000,2.9887,1.0000,2.7902,3
42530,78967.5087,47686.4241,12.5000,5.7475,0.8833,3.0582,3
42531,79039.3094,47682.5324,8.0000,3.6784,0.9259,3.2328,3
42533,78951.1897,47764.4655,12.0000,5.5176,1.0000,2.7627,3
42538,79261.6576,47169.5906,8.0000,3.6784,0.0000,0.3077,3
42540,79349.8559,47174.4344,7.0000,3.2186,0.0000,0.3036,2
42541,79437.7772,47193.4728,13.0000,5.9774,0.9333,3.0419,3
42542,79218.2739,47193.3663,5.5000,2.5289,0.4103,0.8722,2
42547,79437.7936,47398.5303,8.0000,3.6784,0.9672,3.0778,3
42548,79405.4057,47396.0202,8.5000,3.9083,1.0000,2.8139,3
42549,79232.0425,47417.9802,5.0000,2.2990,0.0000,0.4024,2
42550,79378.2260,47449.2055,6.0000,2.7588,0.1000,1.3199,2
42551,79421.3111,47451.0370,7.0000,3.2186,1.0000,2.7318,3
42552,79537.4444,47475.4995,7.5000,3.4485,0.8923,2.7201,3
42554,79428.7439,47638.3810,12.5000,5.7475,0.9839,2.4632,3
42555,79438.8711,47668.5723,8.5000,3.9083,0.0000,0.4140,3
42556,79405.2880,47665.6963,10.0000,4.5980,0.0000,0.3670,3
42564,79233.0667,47173.8970,5.5000,2.5289,1.0000,3.0861,3
42565,79402.7107,47189.2520,11.0000,5.0578,0.8125,2.7265,3
42566,79492.0483,47308.8782,9.0000,4.1382,1.0000,2.8385,3
42569,79204.7429,47425.2740,4.5000,2.0691,1.0000,2.9335,3
42571,79492.5460,47471.2664,12.5000,5.7475,1.0000,2.9788,3
42572,79458.0605,47488.5550,9.5000,4.3681,1.0000,2.2891,3
42573,79404.4811,47495.2155,6.0000,2.7588,1.0000,3.0796,3
42574,79493.9338,47602.3027,17.5000,8.0465,0.9206,2.7359,3
42575,79236.8363,47672.8782,9.0000,4.1382,0.0000,0.3954,3
42576,79320.0426,47697.6771,8.0000,3.6784,0.9429,3.2135,3
42577,79457.7933,47698.7374,8.0000,3.6784,1.0000,3.3261,3
42578,79352.3474,47727.0573,7.0000,3.2186,0.9831,3.3547,3
43276,78969.1282,47553.6916,13.5000,6.2073,0.9647,3.1297,3
43277,79012.4505,47602.5817,7.0000,3.2186,0.9615,3.2282,3
43278,78975.3366,47615.1464,5.5000,2.5289,0.0227,0.6590,2
43279,79066.8315,47624.3778,6.5000,2.9887,0.0000,0.3678,2
43280,79427.7268,47638.8195,11.0000,5.0578,0.9833,2.5429,3
43281,79439.2222,47668.6895,6.0000,2.7588,0.0000,0.4266,2
43282,79404.5019,47665.8582,8.0000,3.6784,0.0278,0.6876,3
43283,79020.1583,47759.4324,9.0000,4.1382,0.4048,0.4324,3
43284,78986.7103,47760.0079,5.5000,2.5289,0.0256,0.2127,1
43285,78944.9836,47813.8112,16.0000,7.3568,0.9062,3.0975,3
43286,78995.4924,47829.3648,13.5000,6.2073,0.9810,3.2325,3
43287,79143.5279,47828.0617,9.0000,4.1382,0.7234,1.8262,3
43288,78967.4658,47867.8987,10.5000,4.8279,0.0000,0.3420,3
43309,79493.4358,47604.2512,17.0000,7.8166,0.9419,2.7275,3
43310,79075.8899,47596.0982,10.0000,4.5980,0.9796,2.9363,3
43311,78929.1381,47613.4549,9.0000,4.1382,1.0000,3.2697,3
43312,79532.2469,47625.1763,19.5000,8.9661,0.8824,2.7660,3
43313,79099.1040,47629.9582,7.5000,3.4485,1.0000,3.2125,3
43314,79004.9934,47666.5886,14.0000,6.4372,0.9388,2.3193,3
43315,79062.0396,47663.4728,7.0000,3.2186,1.0000,2.7927,3
43316,79039.4762,47681.4500,7.5000,3.4485,0.9107,3.2263,3
43317,78967.6897,47687.9359,12.5000,5.7475,0.8281,3.0815,3
43318,79236.9396,47673.1058,9.0000,4.1382,0.0000,0.3976,3
43319,79457.8411,47700.5581,7.5000,3.4485,1.0000,3.4504,3
43320,79321.1724,47699.4598,7.0000,3.2186,0.9437,3.2436,3
43321,79173.1333,47809.4541,16.0000,7.3568,1.0000,2.8774,3
43322,79240.2962,47821.1520,17.0000,7.8166,1.0000,3.0283,3
43323,79373.6192,47833.4538,6.0000,2.7588,0.9640,3.0017,3
43324,78928.9857,47865.7634,10.0000,4.5980,1.0000,2.6807,3
43599,78946.5955,47812.9157,11.5000,5.2877,0.9531,3.0818,3
43600,78995.3597,47830.0710,14.5000,6.6671,0.9888,3.2341,3
43602,79143.0720,47829.3745,9.0000,4.1382,0.6122,1.6630,3
43605,78967.1622,47868.1604,10.0000,4.5980,0.0000,0.3363,3
43639,79172.4244,47807.9000,9.5000,4.3681,1.0000,2.8382,3
43640,79164.6892,47839.3434,6.5000,2.9887,0.1600,1.4515,2
43641,78929.2095,47865.5556,8.0000,3.6784,0.9815,2.6426,3
43683,79373.2234,47834.0077,7.0000,3.2186,0.9271,3.0329,3
90721,79234.5008,47178.7826,6.0000,2.7588,1.0000,3.0828,3
90725,79343.0097,47255.4396,19.0000,8.7362,0.6364,2.6623,3
90993,78969.4610,47677.8181,13.0000,5.9774,0.8286,2.8728,3
90994,79279.5251,47677.7259,18.5000,8.5063,0.8824,2.7657,3
90996,79314.8857,47681.6400,7.5000,3.4485,1.0000,3.2758,3
91034,79351.3805,47688.2547,9.0000,4.1382,0.4828,2.1498,3
91036,79343.7679,47266.5879,17.5000,8.0465,0.9737,3.1265,3
91037,79344.7602,47731.8743,7.5000,3.4485,0.9545,3.2241,3
91038,79353.6857,47780.2286,10.0000,4.5980,0.0000,0.3889,3
91039,78952.8579,47844.0568,13.0000,5.9774,0.9375,2.8630,3
