cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
13998,85795.4789,33110.6648,16.5000,7.5867,0.9342,2.6377,3
13999,85701.3840,33105.9939,5.5000,2.5289,0.9800,3.0621,3
14000,85842.2806,33320.3453,15.5000,7.1269,1.0000,0.2274,3
14001,85637.0769,33325.5359,10.0000,4.5980,1.0000,3.0713,3
14002,85719.6946,33338.3716,13.0000,5.9774,0.9881,2.6829,3
14003,85831.8563,33349.2738,20.5000,9.4259,0.8493,0.2433,3
14004,85844.4951,33377.9806,21.5000,9.8857,1.0000,0.2954,3
14005,85833.5762,33418.6968,9.0000,4.1382,0.3043,0.2431,3
14006,85842.5368,33466.1844,8.0000,3.6784,0.8571,3.2741,3
14007,85431.5194,33459.4607,13.0000,5.9774,0.9792,3.1479,3
14008,85706.7746,33499.6286,4.5000,2.0691,0.2059,0.7711,2
14009,85656.9734,33609.9084,17.5000,8.0465,0.9239,3.0215,3
14010,85191.1158,33612.3751,21.0000,9.6558,0.9457,3.1863,3
14011,85698.0945,33622.1487,10.0000,4.5980,0.8830,3.0532,3
14014,85213.5252,33129.5070,11.0000,5.0578,1.0000,2.9386,3
14015,85609.0436,33130.4261,5.0000,2.2990,1.0000,2.9069,3
14016,85436.8984,33134.4100,8.0000,3.6784,0.9848,3.0518,3
14017,85464.6402,33156.5058,12.0000,5.5176,0.8772,3.4615,3
14018,85405.0541,33205.2621,14.0000,6.4372,0.9425,3.1583,3
14019,85698.1989,33270.2928,14.5000,6.6671,0.9403,2.9056,3
14020,85755.3428,33365.0441,14.5000,6.6671,1.0000,3.0602,3
14021,85783.2996,33404.9299,11.0000,5.0578,1.0000,2.7363,3
14022,85196.4718,33413.5082,7.5000,3.4485,0.0303,0.4631,2
14023,85260.8974,33425.6809,12.0000,5.5176,0.7470,3.2147,3
14024,85447.3147,33418.6080,6.0000,2.7588,0.3667,0.7159,2
14025,85741.9443,33443.7530,8.5000,3.9083,0.8654,3.0875,3
14026,85458.0498,33471.2935,9.5000,4.3681,1.0000,3.0931,3
14027,85768.0494,33468.3724,8.5000,3.9083,0.8953,3.1558,3
14028,85759.5962,33502.1692,8.0000,3.6784,0.8701,3.2273,3
14029,85464.3281,33547.6544,10.0000,4.5980,1.0000,3.2244,3
14030,85490.4393,33554.5010,8.5000,3.9083,0.8846,3.3299,3
14031,85719.8757,33573.5404,5.0000,2.2990,1.0000,3.1333,3
14032,85262.7874,33663.9438,7.5000,3.4485,0.9861,3.0193,3
14033,85855.3269,33667.2898,16.5000,7.5867,0.8955,2.7513,3
14034,85558.0858,33711.2962,11.5000,5.2877,0.7327,3.1451,3
14035,85191.0774,33706.5226,11.5000,5.2877,0.9800,3.0054,3
14056,85874.7660,33371.8298,20.0000,9.1960,1.0000,0.3192,3
14061,85886.7352,33481.6049,10.5000,4.8279,0.8333,2.6827,3
14085,85878.3210,33446.0061,9.5000,4.3681,1.0000,3.4175,3
14471,85658.2782,33749.4077,8.5000,3.9083,1.0000,3.0915,3
14472,85506.3624,33761.0631,11.0000,5.0578,0.8556,3.0938,3
14473,85793.9283,33768.5325,17.0000,7.8166,0.9118,3.6073,3
14490,85509.5500,33721.6574,11.0000,5.0578,0.9200,2.3519,3
14491,85798.9891,33728.1143,9.0000,4.1382,0.9615,3.4764,3
14492,85726.6992,33770.2402,11.0000,5.0578,0.9318,3.1530,3
14493,85298.2394,33786.4765,5.0000,2.2990,0.3929,0.5279,2
52397,85825.5835,33156.7350,10.5000,4.8279,0.9091,2.8957,3
52558,85192.1449,33348.6754,8.5000,3.9083,1.0000,3.0113,3
52755,85721.8873,33578.9680,5.5000,2.5289,1.0000,3.2223,3
52756,85484.9315,33603.0457,7.0000,3.2186,0.9452,3.1208,3
52757,85724.6373,33707.3272,10.5000,4.8279,0.8082,3.2662,3
52781,85719.2859,33584.8940,5.5000,2.5289,1.0000,3.1208,3
