cell_id,centroid_x,centroid_y,thickness_px,thickness_um,completeness,dab_intensity,composite_grade
74080,35464.2519,69913.9527,15.0000,6.8970,0.9231,3.1842,3
74081,35264.4458,70124.9417,15.0000,6.8970,0.7963,3.2356,3
74086,35512.4286,69712.2571,14.0000,6.4372,0.9756,2.8760,3
74087,35565.5395,69734.1017,15.5000,7.1269,0.5366,3.0044,3
74088,35580.5478,69797.9961,21.0000,9.6558,0.9865,3.1631,3
74089,35477.1484,69814.3792,8.0000,3.6784,0.6809,3.0057,3
74090,35617.4916,69845.9604,12.5000,5.7475,0.9394,2.2922,3
74091,35570.8345,70017.5425,17.5000,8.0465,0.6200,3.0509,3
74092,35247.3774,70102.5910,11.0000,5.0578,0.9259,3.3458,3
74093,35216.9403,70118.7340,7.5000,3.4485,0.8382,2.9993,3
74100,35635.2494,69805.5242,6.5000,2.9887,0.2128,0.8102,2
74101,35464.1499,69913.9083,14.5000,6.6671,0.9231,3.2068,3
74102,35253.9688,70110.8289,11.5000,5.2877,0.9863,3.3875,3
74109,35565.4950,69734.1302,16.5000,7.5867,0.6042,2.9949,3
74110,35580.2583,69797.7245,20.5000,9.4259,1.0000,3.1909,3
74111,35478.8928,69816.5217,9.0000,4.1382,0.6667,3.1303,3
74112,35617.2378,69845.7955,12.0000,5.5176,0.9531,2.2654,3
74113,35522.6723,70002.1149,8.5000,3.9083,1.0000,3.1820,3
74114,35570.9233,70017.5372,14.5000,6.6671,0.6444,3.0563,3
74115,35217.0750,70119.6045,5.5000,2.5289,0.8406,3.0658,3
74119,35826.9062,69953.6298,9.0000,4.1382,0.5000,2.1815,3
74120,35867.1122,70112.1974,7.0000,3.2186,0.7414,3.0072,3
74121,35826.3503,69953.4129,12.0000,5.5176,0.4792,2.2529,3
74122,35867.3872,70112.6832,10.5000,4.8279,0.7368,3.0115,3
75203,35647.0476,70377.4286,11.0000,5.0578,0.7727,3.0254,3
96738,35505.0535,69801.4623,13.5000,6.2073,0.4571,3.0422,3
96739,35688.4315,69804.5871,22.5000,10.3455,1.0000,3.1725,3
